title,url,address,title_kakao,nearby_attraction_1,nearby_attraction_2
애월스쿠버다이빙스쿨,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001668&prdtDiv=COUP,제주시 애월읍 애월로13길 45,,,
빅볼랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000825&prdtDiv=COUP,제주시 애월읍 어음리 산3번지,제주빅볼랜드,,
폴개협동조합 블루베리체험,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001498&prdtDiv=COUP,서귀포시 남원읍 남원리 483 강명실 교육농장,,,
제주항공우주박물관 특별권,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001669&prdtDiv=COUP,서귀포시 안덕면 녹차분재로 218,제주항공우주박물관,,
바다랜드 프리 pass [국제리더스클럽],www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000412&prdtDiv=COUP,제주시 조천읍 조함해안로 321-21,,,
올림픽 양궁체험 - 금메달을 쏴라~! 20% 할인,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001665&prdtDiv=COUP,제주시 1100로 2894-63 도깨비장군활터,,,
점보빌리지 코끼리 테마쇼,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000524&prdtDiv=COUP,서귀포시 안덕면 평화로319번길 31-11,,,
제이엠 그랑블루요트-선셋투어(18시 출항),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000555&prdtDiv=COUP,서귀포시 대포로 172-7,,,
제이엠 그랑블루요트-럭셔리투어,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000556&prdtDiv=COUP,서귀포시 대포로 172-7,,,
패들요가(국제리더스클럽),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001428&prdtDiv=COUP,제주시 조천읍 신흥리 1-11,함덕,,
서귀포 제주캔들 만들기 체험,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000872&prdtDiv=COUP,서귀포시 하효동 951-1 1층 아로마제주,제주러브랜드,제주도립미술관,신비의도로
도깨비장군 활터[전통활쏘기 체험] 20% 할인쿠폰,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000365&prdtDiv=FREE,제주시 1100로 2894-63,,,
펭귄 반잠수함(국제리더스클럽),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000411&prdtDiv=COUP,제주시 조천읍 신흥리 1-11,,,
패들보드(국제리더스클럽),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000413&prdtDiv=COUP,제주시 조천읍 신흥리 1-11,,,
럭셔리파워요트(국제리더스클럽),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000416&prdtDiv=COUP,제주시 조천읍 신흥리 1-11,,,
씨워커(국제리더스클럽),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000417&prdtDiv=COUP,제주시 조천읍 신흥리 1-11,,,
투명카약(국제리더스클럽),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001097&prdtDiv=COUP,제주시 조천읍 신흥리 1-11,,,
스노쿨링(국제리더스클럽),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001103&prdtDiv=COUP,제주시 조천읍 신흥리 1-11,,,
제주전통 테우 낚시체험,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001298&prdtDiv=COUP,제주시 한림읍 한림해안로 200,,,
브릭캠퍼스 입장권,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001391&prdtDiv=COUP,제주시 1101로 3047,브랙캠퍼스,신비의도로카트체험장,
(예약필수) 월령포구의 하루,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001424&prdtDiv=COUP,제주시 한림읍 월령3길 36,,,
RPB레포츠 제주도 패러글라이딩체험,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001518&prdtDiv=COUP,제주시 동문로20길 11 302호,,금오름,
[감귤체험]하효감귤체험,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000850&prdtDiv=COUP,서귀포시 하효동,,쇠소깍,올레길 6코스
세리월드-세리카트,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000651&prdtDiv=COUP,서귀포시 법환상로2번길 97-13,세리월드,미로공원,
세리월드-동화속으로 미로공원,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000665&prdtDiv=COUP,서귀포시 법환상로2번길 97-13,세리월드,미로공원,
제주센트럴파크+세그웨이고카트,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001657&prdtDiv=COUP,제주시 조천읍 비자림로 606,제주센트럴파크,산굼부리,민오름
제주센트럴파크,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000724&prdtDiv=COUP,제주시 조천읍 비자림로 606,제주센트럴파크,산굼부리,민오름
피규어뮤지엄제주,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001647&prdtDiv=COUP,서귀포시 안덕면 한창로 243,피규어뮤지엄제주,카멜리아힐,제주유리박물관
제주불빛정원&인생사진관(야간),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001645&prdtDiv=COUP,제주시 애월읍 평화로 2346,제주불빛정원,렛츠런파크제주,극락오름
(예약필수) 제주 야생 돌고래 탐사,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000562&prdtDiv=COUP,서귀포시 동일리 포구,,대정오일시장,모슬봉
윈드1947 카트 테마파크,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001374&prdtDiv=COUP,서귀포시 토평공단로 78-27,윈드1947 카트 테마파크,돈내코유원지,
얼라이브카트 탑승권,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001641&prdtDiv=COUP,서귀포시 중문관광로 42,얼라이브카트,박물관은 살아있다,여미지식물원
(주)제주조각공원-입장권,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001429&prdtDiv=COUP,서귀포시 안덕면 일주서로 1836,제주조각공원,산방산,
[제주씨월드] 우도해저투어! 우도잠수함 승선권,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000090&prdtDiv=COUP,서귀포시 성산읍 성산등용로 130-21,성산일출봉,,
짜릿한 경험 월드제트,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000240&prdtDiv=COUP,서귀포시 성산읍 성산등용로 130-2,성산일출봉,,
(예약필수) 성산포 유람선 승선권,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001387&prdtDiv=COUP,서귀포시 성산읍 성산리 347-9,성산일출봉,,
사계절썰매_제주 레포츠랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001480&prdtDiv=COUP,제주시 조천읍 와흘상서2길 47,제주레포츠랜드,제주돌문화공원,에코랜드테마파크
카트1인승_제주 레포츠랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001483&prdtDiv=COUP,제주시 조천읍 와흘상서2길 47,제주레포츠랜드,제주돌문화공원,에코랜드테마파크
짚라인_제주 레포츠랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001484&prdtDiv=COUP,제주시 조천읍 와흘상서2길 47,제주레포츠랜드,제주돌문화공원,에코랜드테마파크
서바이벌_제주 레포츠랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001486&prdtDiv=COUP,제주시 조천읍 와흘상서2길 47,제주레포츠랜드,제주돌문화공원,에코랜드테마파크
카트+썰매_제주 레포츠랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001487&prdtDiv=COUP,제주시 조천읍 와흘상서2길 47,제주레포츠랜드,제주돌문화공원,에코랜드테마파크
카트+짚라인_제주 레포츠랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001488&prdtDiv=COUP,제주시 조천읍 와흘상서2길 47,제주레포츠랜드,제주돌문화공원,에코랜드테마파크
카트+서바이벌_제주 레포츠랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001489&prdtDiv=COUP,제주시 조천읍 와흘상서2길 47,제주레포츠랜드,제주돌문화공원,에코랜드테마파크
카트+썰매+짚라인_제주 레포츠랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001490&prdtDiv=COUP,제주시 조천읍 와흘상서2길 47,제주레포츠랜드,제주돌문화공원,에코랜드테마파크
카트+썰매+서바이벌_제주 레포츠랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001491&prdtDiv=COUP,제주시 조천읍 와흘상서2길 47,제주레포츠랜드,제주돌문화공원,에코랜드테마파크
카트+짚라인+서바이벌_제주 레포츠랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001492&prdtDiv=COUP,제주시 조천읍 와흘상서2길 47,제주레포츠랜드,제주돌문화공원,에코랜드테마파크
힐링카약파크 비체올린 입장권,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000290&prdtDiv=COUP,제주시 한경면 판포리 725,힐링카약파크,판포오름,널개오름
제주민속촌,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000727&prdtDiv=COUP,서귀포시 표선면 민속해안로 631-34,제주민속촌,표선해수욕장,올레길 3코스
그리스신화박물관,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000465&prdtDiv=COUP,제주시 한림읍 광산로 942,그리스신화박물관,트릭아이뮤지엄,
그리스신화박물관+트릭아이뮤지엄 세트상품,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000467&prdtDiv=COUP,제주시 한림읍 광산로 942,그리스신화박물관,트릭아이뮤지엄,
그리스신화박물관-놀라운트릭아이 미술관,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001617&prdtDiv=COUP,제주시 한림읍 광산로 942,그리스신화박물관,놀라운트릭아이 미술관,
제주러브랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001569&prdtDiv=COUP,제주시 1100로 2894-72,제주러브랜드,신비의도로,
M1971요트투어 조조항차 돌고래투어,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001608&prdtDiv=COUP,서귀포시 대정읍 최남단해안로 128,,하모해수욕장,
M1971요트투어 일반항차 돌고래투어,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001607&prdtDiv=COUP,서귀포시 대정읍 최남단해안로 128,,하모해수욕장,
코바다이빙스쿨-스쿠버체험다이빙,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001624&prdtDiv=COUP,제주시 도두1동 1742,,이호테우해변,
서귀포유람선-뉴파라다이스호,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000721&prdtDiv=COUP,서귀포시 남성중로 40 서귀포항 유선부두,,정방폭포,천지연폭포
퍼시픽랜드-퍼블릭 낚시투어(90분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001616&prdtDiv=COUP,서귀포시 중문관광로 154-17 퍼시픽랜드,퍼시픽랜드,중문색달해변,
퍼시픽랜드-바다올레 보트투어,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001621&prdtDiv=COUP,서귀포시 중문관광로 154-17 퍼시픽랜드,퍼시픽랜드,중문색달해변,
퍼시픽랜드-샹그릴라 조조요트투어,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001623&prdtDiv=COUP,서귀포시 중문관광로 154-17 퍼시픽랜드,퍼시픽랜드,중문색달해변,
방림원_일반관람,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000616&prdtDiv=COUP,제주시 한경면 용금로 864,방림원,,
코바다이빙스쿨-스쿠버라이센스 교육(2박3일),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001627&prdtDiv=COUP,제주시 도두1동 1742,,도두봉,용담해안도로
코바다이빙스쿨-스노클링 장비대여,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001626&prdtDiv=COUP,제주시 도두1동 1742,,도두봉,용담해안도로
(예약필수)방림원_웨딩체험,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001505&prdtDiv=COUP,제주시 한경면 용금로 864,방림원,,
코바다이빙-수중사진(1인),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001625&prdtDiv=COUP,제주시 도두1동 1742,,도두봉,용담해안도로
제주해양동물과학관,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001595&prdtDiv=COUP,서귀포시 성산읍 서성일로 689-21,제주해양동물박물관,섭지코지,붉은오름
(예약필수)방림원_체험형 관람,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001500&prdtDiv=COUP,제주시 한경면 용금로 864,방림원,,
서귀포잠수함,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000637&prdtDiv=COUP,서귀포시 남성중로 40,,새섬공원,
드르쿰다 인 성산 입장권+회전목마 1회,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001622&prdtDiv=COUP,서귀포시 성산읍 섭지코지로25번길 64,,성산일출봉,한화아쿠아플라넷제주
드르쿰다 인 성산,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001620&prdtDiv=COUP,서귀포시 성산읍 섭지코지로25번길 64,,성산일출봉,한화아쿠아플라넷제주
[세트상품]우도잠수함+승마(단거리),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001619&prdtDiv=COUP,서귀포시 성산읍 성산등용로 130-21,,성산일출봉,섭지코지
퍼시픽랜드-샹그릴라 요트투어,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001618&prdtDiv=COUP,서귀포시 중문관광로 154-17 퍼시픽랜드,퍼시픽랜드,중문색달해변,
목장카페드르쿰다-승마(체험코스),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001614&prdtDiv=COUP,서귀포시 표선면 성읍리 2873,,백약이오름,
목장카페드르쿰다-승마(오름코스),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001612&prdtDiv=COUP,서귀포시 표선면 성읍리 2873,,백약이오름,
목장카페드르쿰다-승마(D코스),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001613&prdtDiv=COUP,서귀포시 표선면 성읍리 2873,,백약이오름,
목장카페드르쿰다-승마(주몽코스),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001611&prdtDiv=COUP,서귀포시 표선면 성읍리 2873,,백약이오름,
목장카페드르쿰다-승마(중거리코스),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001610&prdtDiv=COUP,서귀포시 표선면 성읍리 2873,,백약이오름,
목장카페드르쿰다-카트(1인),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001609&prdtDiv=COUP,서귀포시 표선면 성읍리 2873,,백약이오름,
한림공원,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000459&prdtDiv=COUP,제주시 한림읍 한림해안로 300,한림공원,협재해수욕장,
제주요트투어,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001605&prdtDiv=COUP,제주시 도두항길 26,제주요트투어,,
JSR제주실탄사격장-실탄사격,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000699&prdtDiv=COUP,서귀포시 소보리당로164번길 60,제주실탄사격장,박물관은 살아있다,
JSR제주실탄사격장-비비탄,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000698&prdtDiv=COUP,서귀포시 소보리당로164번길 60,제주실탄사격장,박물관은 살아있다,
JSR제주실탄사격장-시뮬레이션,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000697&prdtDiv=COUP,서귀포시 소보리당로164번길 60,제주실탄사격장,박물관은 살아있다,
여미지식물원,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000478&prdtDiv=COUP,서귀포시 중문관광로 93,여미지식물원,테디베어뮤지엄,천제연폭포
삼성혈,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000464&prdtDiv=COUP,제주시 삼성로 22,삼성혈,제주도민속자연사박물관,
조은승마장-기본코스(5분내외),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000522&prdtDiv=COUP,서귀포시 안덕면 동광로 265-14,조은승마장,토이파크,
조은승마장-더블코스(10분이내),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000521&prdtDiv=COUP,서귀포시 안덕면 동광로 265-14,조은승마장,토이파크,
조은승마장-산책코스(15분내외),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000520&prdtDiv=COUP,서귀포시 안덕면 동광로 265-14,조은승마장,토이파크,
에코랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000493&prdtDiv=COUP,제주시 조천읍 번영로 1278-169,에코랜드테마파크,제주센트럴파크,렛츠런팜제주
퍼시픽랜드-비바제트,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001601&prdtDiv=COUP,서귀포시 중문관광로 154-17 퍼시픽랜드,퍼시픽랜드,중문색달해변,
퍼시픽랜드-마린스테이지,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001604&prdtDiv=COUP,서귀포시 중문관광로 154-17 퍼시픽랜드,퍼시픽랜드,중문색달해변,
(예약필수)이음새-감물염색,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000496&prdtDiv=COUP,서귀포시 남원읍 위미항구로121번길 120,,,
(예약필수)이음새-쪽염색,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000497&prdtDiv=COUP,서귀포시 남원읍 위미항구로121번길 120,,,
(주)이레-쇼월드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001514&prdtDiv=COUP,서귀포시 표선면 번영로 2564-21,,,
(주)이레-낙타트레킹,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000829&prdtDiv=COUP,서귀포시 표선면 번영로 2564-21,,,
아로마스킨케어-G코스(120분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001600&prdtDiv=COUP,제주시 신대로14길 38,,,
아로마스킨케어-F코스(90분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001599&prdtDiv=COUP,제주시 신대로14길 38,,,
아로마스킨케어-E코스(50분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001598&prdtDiv=COUP,제주시 신대로14길 38,,,
아로마스킨케어-D코스(70분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001597&prdtDiv=COUP,제주시 신대로14길 38,,,
아로마스킨케어-C코스(90분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001596&prdtDiv=COUP,제주시 신대로14길 38,,,
아로마스킨케어-B코스(90분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001594&prdtDiv=COUP,제주시 신대로14길 38,,,
아로마스킨케어-A코스(120분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001593&prdtDiv=COUP,제주시 신대로14길 38,,,
정다운스킨케어-A코스(50분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001581&prdtDiv=COUP,제주시 삼무로49 2층,,,
정다운스킨케어-B코스(70분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001580&prdtDiv=COUP,제주시 삼무로49 2층,,,
정다운스킨케어-C코스(90분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001579&prdtDiv=COUP,제주시 삼무로49 2층,,,
정다운스킨케어-D-4코스(120분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001578&prdtDiv=COUP,제주시 삼무로49 2층,,,
정다운스킨케어-얼굴코스(80분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001577&prdtDiv=COUP,제주시 삼무로49 2층,,,
정다운스킨케어-임산부코스(90분),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001576&prdtDiv=COUP,제주시 삼무로49 2층,,,
"(예약필수)스쿠버라이프-O,W,D교육(2~3일)",www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000552&prdtDiv=COUP,서귀포시 동홍동 1137-5,,이중섭거리,
(예약필수)스쿠버라이프-스쿠버다이빙,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000551&prdtDiv=COUP,서귀포시 동홍동 1137-5,,이중섭거리,
(예약필수)스쿠버라이프-펀다이빙(자격증소지자),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000553&prdtDiv=COUP,서귀포시 동홍동 1137-5,,이중섭거리,
백년초박물관,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000476&prdtDiv=COUP,서귀포시 호근동139,백년초박물관,천지연폭포,
SOS박물관 피오디코리아,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000463&prdtDiv=COUP,서귀포시 월드컵로31,SOS박물관,세리월드,
에스케이핀크스(주)-골프탕탕+온천,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000684&prdtDiv=COUP,서귀포시 안덕면 산록남로762번길 71,,녹차미로공원,본태박물관
에스케이핀크스(주)-골프탕탕 미니그라운드 골프장,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000492&prdtDiv=COUP,서귀포시 안덕면 산록남로762번길 71,,녹차미로공원,본태박물관
에스케이핀크스(주)-아라고나이트 심층 고온천 & 수영장,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000491&prdtDiv=COUP,서귀포시 안덕면 산록남로762번길 71,,녹차미로공원,본태박물관
제주워터서커스,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000513&prdtDiv=COUP,제주시 구좌읍 번영로 2172-80 제 1호,,성불오름,
다이나믹메이즈에피소드3,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000471&prdtDiv=COUP,서귀포시 표선면 번영로 2644,다이나믹메이즈,성읍랜드,
